Electrolyte Lot No,RF Lot No,Count,,RF Lot No,OK Count,NFF Count,SCRAP Count,,RF Lot No,OLD PCB,BARCODE MISSING,DRV BURN,TRACK DAMAGE,CHILD CARD,WATER DAMAGE,COMPONENT CHANGE,,Part Code,OK Count,NFF Count,SCRAP Count,,Component,Total Count
LOT NO 01,RF LOT NO 35,34,,RF LOT NO 35,34,0,0,,RF LOT NO 35,0,0,0,0,0,0,34,,,,,,,D5,370
LOT NO 01,RF LOT NO 59,76,,RF LOT NO 59,76,0,0,,RF LOT NO 59,0,0,0,0,0,0,76,,,,,,,D12,36
LOT NO 01,RF LOT NO 57,106,,RF LOT NO 57,106,0,0,,RF LOT NO 57,0,0,0,0,0,0,106,,,,,,,D11,50
LOT NO 01,RF LOT NO 40,20,,RF LOT NO 40,20,0,0,,RF LOT NO 40,0,0,0,0,0,0,20,,,,,,,D13,57
LOT NO 01,RF LOT NO 51,51,,RF LOT NO 51,51,0,1,,RF LOT NO 51,0,0,1,0,0,0,51,,,,,,,D15,18
LOT NO 01,RF LOT NO 32,21,,RF LOT NO 32,21,0,0,,RF LOT NO 32,0,0,0,0,0,0,21,,,,,,,C34,26
LOT NO 01,RF LOT NO 64,67,,RF LOT NO 64,67,0,0,,RF LOT NO 64,0,0,0,0,0,0,67,,,,,,,C14,3
LOT NO 01,RF LOT NO 42,24,,RF LOT NO 42,24,0,0,,RF LOT NO 42,0,0,0,0,0,0,24,,,,,,,Q8,14
LOT NO 01,RF LOT NO 46,10,,RF LOT NO 46,10,0,1,,RF LOT NO 46,0,0,0,0,0,0,11,,,,,,,Z4,17
LOT NO 01,RF LOT NO 33,2,,RF LOT NO 33,2,0,0,,RF LOT NO 33,0,0,0,0,0,0,2,,,,,,,D6,828
LOT NO 01,RF LOT NO 29,5,,RF LOT NO 29,5,0,0,,RF LOT NO 29,0,0,0,0,0,0,5,,,,,,,R1,35
LOT NO 01,NA,646,,NA,650,0,1156,,NA,820,0,106,172,0,0,708,,,,,,,C8,1
LOT NO 02,RF LOT NO 82,258,,RF LOT NO 69,0,0,56,,RF LOT NO 69,2,0,6,17,0,0,31,,,,,,,R30,38
LOT NO 02,RF LOT NO 72,417,,RF LOT NO 86,3284,0,614,,RF LOT NO 86,305,0,67,45,0,0,3481,,,,,,,Q9,25
LOT NO 02,RF LOT NO 83,273,,RF LOT NO 02,6116,0,5730,,RF LOT NO 02,2626,107,606,830,110,72,7495,,,,,,,SENSOR,25
LOT NO 02,RF LOT NO 74,107,,RF LOT NO 03,4568,0,4428,,RF LOT NO 03,1889,0,754,421,205,38,5689,,,,,,,NFF,4
LOT NO 02,RF LOT NO 76,68,,RF LOT NO 04,4386,0,3221,,RF LOT NO 04,1519,0,480,353,160,6,5089,,,,,,,C7,9
LOT NO 02,RF LOT NO 77,72,,RF LOT NO 05,1828,0,844,,RF LOT NO 05,310,0,367,47,0,0,1948,,,,,,,MALE WIR,4
LOT NO 02,RF LOT NO 68,119,,RF LOT NO 01,210,0,6,,RF LOT NO 01,0,0,0,2,0,0,214,,,,,,,D14,5
LOT NO 02,RF LOT NO 70,102,,RF LOT NO 06,1585,0,1023,,RF LOT NO 06,766,0,105,56,0,0,1681,,,,,,,Q2,3
LOT NO 02,RF LOT NO 79,144,,RF LOT NO 27,0,0,1,,RF LOT NO 27,1,0,0,0,0,0,0,,,,,,,LED BREAK,2
LOT NO 02,RF LOT NO 84,6,,RF LOT NO 07,845,0,288,,RF LOT NO 07,281,0,0,6,0,0,846,,,,,,,C30,1
LOT NO 02,NA,1097,,,,,,,,,,,,,,,,,,,,,C27,2
LOT NO 02,RF LOT NO 85,121,,,,,,,,,,,,,,,,,,,,,D32,1
LOT NO 02,RF LOT NO 80,29,,,,,,,,,,,,,,,,,,,,,R31,1
LOT NO 02,RF LOT NO 81,135,,,,,,,,,,,,,,,,,,,,,R40,1
LOT NO 02,RF LOT NO 75,64,,,,,,,,,,,,,,,,,,,,,R11,1
LOT NO 02,RF LOT NO 73,58,,,,,,,,,,,,,,,,,,,,,Q3,1
LOT NO 02,RF LOT NO 71,64,,,,,,,,,,,,,,,,,,,,,U1,1
LOT NO 02,RF LOT NO 41,4,,,,,,,,,,,,,,,,,,,,,C11,1
LOT NO 02,RF LOT NO 47,3,,,,,,,,,,,,,,,,,,,,,J1,1
LOT NO 02,RF LOT NO 38,4,,,,,,,,,,,,,,,,,,,,,U2,32
LOT NO 02,RF LOT NO 53,3,,,,,,,,,,,,,,,,,,,,,C23,1
LOT NO 02,RF LOT NO 62,7,,,,,,,,,,,,,,,,,,,,,C15,1
LOT NO 02,RF LOT NO 39,5,,,,,,,,,,,,,,,,,,,,,U3,4
LOT NO 02,RF LOT NO 78,172,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 55,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 54,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 44,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 49,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 50,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 58,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 60,9,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 51,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 61,4,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 52,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 43,2,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 69,56,,,,,,,,,,,,,,,,,,,,,,
LOT NO 02,RF LOT NO 67,29,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 86,2407,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 84,36,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 85,21,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 81,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 70,12,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 82,15,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 83,9,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 79,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 68,3,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 72,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 80,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 03,RF LOT NO 74,1,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 02,2317,,,,,,,,,,,,,,,,,,,,,,
LOT NO 04,RF LOT NO 70,9,,,,,,,,,,,,,,,,,,,,,,
