Row Labels,Sum of OK Count,Sum of SCRAP Count,Total,OK %,Scarp %
SA0011,10131,8639,18770,0.5397442727757059,0.4602557272242941
SA0019,7801,4864,12665,0.6159494670351362,0.3840505329648638
SA0060,4048,1694,5742,0.7049808429118773,0.2950191570881226
SA0021,407,1422,1829,0.22252597047566977,0.7774740295243302
SA0061,9702,1390,11092,0.8746844572664983,0.12531554273350162
SA0039,614,1304,1918,0.32012513034410844,0.6798748696558915
SA0038,738,997,1735,0.42536023054755046,0.5746397694524495
SA0087,109,488,597,0.18257956448911222,0.8174204355108877
Grand Total,33550,20798,54348,0.6173180245823213,0.3826819754176787
